sp	long	lat	base
vitreorana_uranoscopa	-48.35	-23.4	vertnet
vitreorana_uranoscopa	-48.35	-23.4	vertnet
vitreorana_uranoscopa	-45.145833	-23.335833	vertnet
vitreorana_uranoscopa	-42.98	-22.43	vertnet
vitreorana_uranoscopa	-42.98	-22.43	vertnet
vitreorana_uranoscopa	-40.6	-19.9167	vertnet
vitreorana_uranoscopa	-44.75	-22.5667	vertnet
vitreorana_uranoscopa	-43.2333	-22.9333	vertnet
vitreorana_uranoscopa	-44.967	-22.383	vertnet
vitreorana_uranoscopa	-44.75	-22.5667	vertnet
vitreorana_uranoscopa	-45.83	-23.63	vertnet
vitreorana_uranoscopa	-49.5333	-28.4	vertnet
vitreorana_uranoscopa	-48.9333	-26.2	vertnet
vitreorana_uranoscopa	-49.5333	-28.4	vertnet
vitreorana_uranoscopa	-43.2333	-22.9	vertnet
vitreorana_uranoscopa	-49.5333	-28.4	vertnet
vitreorana_uranoscopa	-42.98	-22.43	vertnet
vitreorana_uranoscopa	-49.5333	-28.4	vertnet
vitreorana_uranoscopa	-49.5333	-28.4	vertnet
vitreorana_uranoscopa	-43.2333	-22.9	vertnet
vitreorana_uranoscopa	-44.75	-22.5667	vertnet
vitreorana_uranoscopa	-43.1667	-22.5167	vertnet
vitreorana_uranoscopa	-43.2333	-22.9333	vertnet
vitreorana_uranoscopa	-43.2333	-22.9333	vertnet
vitreorana_uranoscopa	-44.75	-22.5667	vertnet
vitreorana_uranoscopa	-42.98	-22.43	vertnet
vitreorana_uranoscopa	-44.56333	-22.49611	idigbio
vitreorana_uranoscopa	-43.1667	-22.5167	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-44.13556	-22.72306	idigbio
vitreorana_uranoscopa	-49.5333	-28.4	idigbio
vitreorana_uranoscopa	-43.2333	-22.9333	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-40.6	-19.9167	idigbio
vitreorana_uranoscopa	-43.4075	-20.07472	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-44.75	-22.5667	idigbio
vitreorana_uranoscopa	-49.5333	-28.4	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-45.145833	-23.335833	idigbio
vitreorana_uranoscopa	-44.13556	-22.72306	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-44.44667	-22.46889	idigbio
vitreorana_uranoscopa	-44.44667	-22.46889	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-44.56333	-22.49611	idigbio
vitreorana_uranoscopa	-44.13556	-22.72306	idigbio
vitreorana_uranoscopa	-49.5333	-28.4	idigbio
vitreorana_uranoscopa	-43.4075	-20.07472	idigbio
vitreorana_uranoscopa	-44.44667	-22.46889	idigbio
vitreorana_uranoscopa	-44.967	-22.383	idigbio
vitreorana_uranoscopa	-43.4075	-20.07472	idigbio
vitreorana_uranoscopa	-42.98	-22.43	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-42.65306	-22.4625	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-42.98	-22.43	idigbio
vitreorana_uranoscopa	-44.75	-22.5667	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-44.56333	-22.49611	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-42.98	-22.43	idigbio
vitreorana_uranoscopa	-45.83	-23.63	idigbio
vitreorana_uranoscopa	-43.2333	-22.9	idigbio
vitreorana_uranoscopa	-43.4075	-20.07472	idigbio
vitreorana_uranoscopa	-42.98	-22.43	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-43.2333	-22.9333	idigbio
vitreorana_uranoscopa	-43.31167	-22.78556	idigbio
vitreorana_uranoscopa	-44.75	-22.5667	idigbio
vitreorana_uranoscopa	-48.9333	-26.2	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-43.4075	-20.07472	idigbio
vitreorana_uranoscopa	-44.44667	-22.46889	idigbio
vitreorana_uranoscopa	-43.2333	-22.9	idigbio
vitreorana_uranoscopa	-52.26028	-26.85278	idigbio
vitreorana_uranoscopa	-44.13556	-22.72306	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-40.542167	-19.909889	idigbio
vitreorana_uranoscopa	-43.2075	-22.90278	idigbio
vitreorana_uranoscopa	-43.88444	-20.74	idigbio
vitreorana_uranoscopa	-48.445	-22.88583	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-49.5333	-28.4	idigbio
vitreorana_uranoscopa	-49.5333	-28.4	idigbio
vitreorana_uranoscopa	-44.75	-22.5667	idigbio
vitreorana_uranoscopa	-43.45111	-22.75917	idigbio
vitreorana_uranoscopa	-43.2333	-22.9333	idigbio
vitreorana_uranoscopa	-44.44667	-22.46889	idigbio
vitreorana_uranoscopa	-44.56333	-22.49611	idigbio
